image_id, usage, remain_area, combination, arrangement
1,76.46%,16.950000000000003,"A7,B7,C9,D8,E4","{D8:[[1.9, 3.5],[8.5, 3.5],[8.5, 7.0],[1.9, 7.0]],E4:[[5.7, 2.3],[7.2, 2.3],[7.2, 3.5],[5.7, 3.5]],C9:[[0.5, 0.0],[5.6, 0.0],[5.6, 3.5],[0.5, 3.5]],B7:[[7.4, 0.5],[9.8, 0.5],[9.8, 3.5],[7.4, 3.5]],A7:[[0.2, 4.2],[1.9, 4.2],[1.9, 7.2],[0.2, 7.2]]}"

2,72.22%,20.0,"A7,B7,C9,D7,E3","{D7:[[3.8, 1.2],[9.7, 1.2],[9.7, 4.7],[3.8, 4.7]],A7:[[4.0, 4.7],[7.0, 4.7],[7.0, 6.4],[4.0, 6.4]],B7:[[7.0, 4.7],[10.0, 4.7],[10.0, 7.1],[7.0, 7.1]],C9:[[0.3, 1.8],[3.8, 1.8],[3.8, 6.9],[0.3, 6.9]],E3:[[4.8, 0.2],[6.0, 0.2],[6.0, 1.2],[4.8, 1.2]]}"

3,65.28%,25.0,"A7,B4,C7,D7,E2","{D7:[[3.5, 3.7],[9.4, 3.7],[9.4, 7.2],[3.5, 7.2]],B4:[[4.3, 1.9],[7.3, 1.9],[7.3, 3.7],[4.3, 3.7]],E2:[[8.2, 2.7],[9.2, 2.7],[9.2, 3.7],[8.2, 3.7]],C7:[[0.2, 0.3],[3.5, 0.3],[3.5, 4.8],[0.2, 4.8]],A7:[[0.5, 5.0],[3.5, 5.0],[3.5, 6.7],[0.5, 6.7]]}"

4,76.46%,16.950000000000003,"A7,B7,C9,D8,E4","{D8:[[3.2, 3.7],[9.8, 3.7],[9.8, 7.2],[3.2, 7.2]],E4:[[5.4, 2.5],[6.9, 2.5],[6.9, 3.7],[5.4, 3.7]],C9:[[0.2, 0.2],[5.3, 0.2],[5.3, 3.7],[0.2, 3.7]],B7:[[7.0, 1.3],[10.0, 1.3],[10.0, 3.7],[7.0, 3.7]],A7:[[0.2, 4.4],[3.2, 4.4],[3.2, 6.1],[0.2, 6.1]]}"
5,75.63%,17.549999999999997,"A7,B7,C9,D8,E3","{D8:[[0.2, 0.2],[6.8, 0.2],[6.8, 3.7],[0.2, 3.7]],A7:[[6.8, 0.7],[9.8, 0.7],[9.8, 2.4],[6.8, 2.4]],B7:[[6.8, 2.6],[9.8, 2.6],[9.8, 5.0],[6.8, 5.0]],C9:[[0.4, 3.7],[5.5, 3.7],[5.5, 7.2],[0.4, 7.2]],E3:[[5.5, 3.7],[6.7, 3.7],[6.7, 4.7],[5.5, 4.7]]}"
6,75.46000000000001%,17.67,"A7,B6,C9,D8,E4","{D8:[[1.7, 3.7],[8.3, 3.7],[8.3, 7.2],[1.7, 7.2]],C9:[[1.3, 0.2],[6.4, 0.2],[6.4, 3.7],[1.3, 3.7]],B6:[[7.2, 1.3],[9.9, 1.3],[9.9, 3.7],[7.2, 3.7]],E4:[[8.2, 4.4],[9.7, 4.4],[9.7, 5.6],[8.2, 5.6]],A7:[[0.0, 3.9],[1.7, 3.9],[1.7, 6.9],[0.0, 6.9]]}"
7,75.37%,17.730000000000004,"A8,B7,C9,D8,E4","{D8:[[1.9, 3.7],[8.5, 3.7],[8.5, 7.2],[1.9, 7.2]],C9:[[0.4, 0.2],[5.5, 0.2],[5.5, 3.7],[0.4, 3.7]],B7:[[6.9, 1.3],[9.9, 1.3],[9.9, 3.7],[6.9, 3.7]],E4:[[5.6, 2.2],[6.8, 2.2],[6.8, 3.7],[5.6, 3.7]],A8:[[0.1, 3.9],[1.9, 3.9],[1.9, 6.3],[0.1, 6.3]]}"
8,75.35%,17.75,"A7,B7,C9,D8,E2","{D8:[[2.7, 3.6],[9.3, 3.6],[9.3, 7.1],[2.7, 7.1]],E2:[[5.5, 2.6],[6.5, 2.6],[6.5, 3.6],[5.5, 3.6]],C9:[[0.2, 0.1],[5.3, 0.1],[5.3, 3.6],[0.2, 3.6]],B7:[[6.8, 1.2],[9.8, 1.2],[9.8, 3.6],[6.8, 3.6]],A7:[[1.0, 3.9],[2.7, 3.9],[2.7, 6.9],[1.0, 6.9]]}"
9,75.0%,18.0,"A7,B7,C8,D8,E4","{D8:[[0.0, 0.2],[6.6, 0.2],[6.6, 3.7],[0.0, 3.7]],C8:[[3.1, 3.7],[7.9, 3.7],[7.9, 7.2],[3.1, 7.2]],E4:[[6.6, 2.0],[8.1, 2.0],[8.1, 3.2],[6.6, 3.2]],A7:[[6.6, 0.2],[9.6, 0.2],[9.6, 1.9],[6.6, 1.9]],B7:[[0.1, 3.7],[3.1, 3.7],[3.1, 6.1],[0.1, 6.1]]}"
