image_id, usage, remain_area, combination, arrangement

1,72.22%,20.0,"A8,B6,C7,D7,E2,F1","{D7:[[0.3, 1.4],[6.2, 1.4],[6.2, 4.9],[0.3, 4.9]],B6:[[6.2, 0.3],[8.9, 0.3],[8.9, 2.7],[6.2, 2.7]],C7:[[6.2, 2.7],[9.5, 2.7],[9.5, 7.2],[6.2, 7.2]],E2:[[1.9, 0.4],[3.1, 0.4],[3.1, 1.4],[1.9, 1.4]],A8:[[0.8, 4.9],[3.2, 4.9],[3.2, 6.7],[0.8, 6.7]],F1:[[3.2, 4.9],[6.2, 4.9],[6.2, 6.4],[3.2, 6.4]]}"
2,72.22%,20.0,"A1,B4,C9,D7,E3,F1","{D7:[[3.9, 2.0],[9.8, 2.0],[9.8, 5.5],[3.9, 5.5]],B4:[[3.6, 0.2],[6.6, 0.2],[6.6, 2.0],[3.6, 2.0]],E3:[[8.1, 0.8],[9.6, 0.8],[9.6, 2.0],[8.1, 2.0]],A1:[[6.9, 0.2],[7.9, 0.2],[7.9, 2.0],[6.9, 2.0]],C9:[[0.4, 2.0],[3.9, 2.0],[3.9, 7.1],[0.4, 7.1]],F1:[[5.9, 5.5],[8.9, 5.5],[8.9, 7.0],[5.9, 7.0]]}"

3,80.88%,13.769999999999996,"A7,B6,C9,D8,E2,F1","{D8:[[2.4, 0.2],[9.0, 0.2],[9.0, 3.7],[2.4, 3.7]],F1:[[5.1, 3.7],[8.1, 3.7],[8.1, 5.2],[5.1, 5.2]],C9:[[0.0, 3.7],[5.1, 3.7],[5.1, 7.2],[0.0, 7.2]],E2:[[9.0, 2.3],[10.0, 2.3],[10.0, 3.5],[9.0, 3.5]],B6:[[0.0, 0.7],[2.4, 0.7],[2.4, 3.4],[0.0, 3.4]],A7:[[8.1, 3.7],[9.8, 3.7],[9.8, 6.7],[8.1, 6.7]]}"
4,80.35%,14.150000000000006,"A6,B7,C9,D8,E3,F1","{D8:[[1.6, 3.6],[8.2, 3.6],[8.2, 7.1],[1.6, 7.1]],C9:[[1.0, 0.1],[6.1, 0.1],[6.1, 3.6],[1.0, 3.6]],B7:[[6.5, 1.2],[9.5, 1.2],[9.5, 3.6],[6.5, 3.6]],A6:[[8.2, 4.0],[9.9, 4.0],[9.9, 6.0],[8.2, 6.0]],E3:[[8.2, 6.0],[9.7, 6.0],[9.7, 7.2],[8.2, 7.2]],F1:[[0.1, 3.8],[1.6, 3.8],[1.6, 6.8],[0.1, 6.8]]}"
5,80.25%,14.219999999999999,"A7,B6,C8,D8,E3,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],E3:[[8.5, 0.6],[10.0, 0.6],[10.0, 1.8],[8.5, 1.8]],C8:[[3.8, 3.7],[8.6, 3.7],[8.6, 7.2],[3.8, 7.2]],F1:[[8.5, 2.0],[10.0, 2.0],[10.0, 5.0],[8.5, 5.0]],B6:[[0.1, 3.7],[2.8, 3.7],[2.8, 6.1],[0.1, 6.1]],A7:[[0.2, 0.1],[1.9, 0.1],[1.9, 3.1],[0.2, 3.1]]}"
6,80.21000000000001%,14.250000000000007,"A7,B4,C9,D8,E3,F1","{D8:[[1.5, 0.1],[8.1, 0.1],[8.1, 3.6],[1.5, 3.6]],E3:[[8.1, 0.2],[9.6, 0.2],[9.6, 1.4],[8.1, 1.4]],A7:[[8.1, 2.2],[9.8, 2.2],[9.8, 5.2],[8.1, 5.2]],C9:[[1.2, 3.6],[6.3, 3.6],[6.3, 7.1],[1.2, 7.1]],B4:[[6.3, 3.6],[8.1, 3.6],[8.1, 6.6],[6.3, 6.6]],F1:[[0.0, 0.5],[1.5, 0.5],[1.5, 3.5],[0.0, 3.5]]}"
7,79.51%,14.75,"A6,B7,C9,D8,E2,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],F1:[[8.5, 0.7],[10.0, 0.7],[10.0, 3.7],[8.5, 3.7]],C9:[[4.2, 3.7],[9.3, 3.7],[9.3, 7.2],[4.2, 7.2]],B7:[[1.0, 3.7],[4.0, 3.7],[4.0, 6.1],[1.0, 6.1]],A6:[[0.2, 0.6],[1.9, 0.6],[1.9, 2.6],[0.2, 2.6]],E2:[[0.7, 2.7],[1.9, 2.7],[1.9, 3.7],[0.7, 3.7]]}"
8,79.35%,14.870000000000005,"A6,B6,C9,D8,E3,F1","{D8:[[1.7, 0.2],[8.3, 0.2],[8.3, 3.7],[1.7, 3.7]],C9:[[2.7, 3.7],[7.8, 3.7],[7.8, 7.2],[2.7, 7.2]],E3:[[8.2, 2.1],[9.7, 2.1],[9.7, 3.3],[8.2, 3.3]],B6:[[0.0, 3.7],[2.7, 3.7],[2.7, 6.1],[0.0, 6.1]],A6:[[8.2, 0.1],[9.9, 0.1],[9.9, 2.1],[8.2, 2.1]],F1:[[0.2, 0.4],[1.7, 0.4],[1.7, 3.4],[0.2, 3.4]]}"
