image_id, usage, remain_area, combination, arrangement
1,80.35%,14.150000000000006,"A6,B7,C9,D8,E3,F1","{D8:[[1.6, 3.5],[8.2, 3.5],[8.2, 7.0],[1.6, 7.0]],B7:[[0.0, 1.1],[3.0, 1.1],[3.0, 3.5],[0.0, 3.5]],C9:[[4.0, 0.0],[9.1, 0.0],[9.1, 3.5],[4.0, 3.5]],E3:[[8.2, 3.9],[9.7, 3.9],[9.7, 5.1],[8.2, 5.1]],F1:[[0.1, 4.0],[1.6, 4.0],[1.6, 7.0],[0.1, 7.0]],A6:[[8.2, 5.1],[9.9, 5.1],[9.9, 7.1],[8.2, 7.1]]}"

2,80.35%,14.150000000000006,"A6,B7,C9,D8,E3,F1","{D8:[[1.7, 3.5],[8.3, 3.5],[8.3, 7.0],[1.7, 7.0]],C9:[[4.4, 0.0],[9.5, 0.0],[9.5, 3.5],[4.4, 3.5]],B7:[[0.9, 1.1],[3.9, 1.1],[3.9, 3.5],[0.9, 3.5]],E3:[[8.3, 5.7],[9.8, 5.7],[9.8, 6.9],[8.3, 6.9]],F1:[[0.2, 3.8],[1.7, 3.8],[1.7, 6.8],[0.2, 6.8]],A6:[[8.3, 3.6],[10.0, 3.6],[10.0, 5.6],[8.3, 5.6]]}"

3,72.22%,20.0,"A8,B6,C7,D7,E2,F1","{D7:[[2.4, 3.6],[8.3, 3.6],[8.3, 7.1],[2.4, 7.1]],B6:[[1.2, 1.2],[3.9, 1.2],[3.9, 3.6],[1.2, 3.6]],C7:[[5.2, 0.3],[9.7, 0.3],[9.7, 3.6],[5.2, 3.6]],A8:[[0.0, 4.9],[2.4, 4.9],[2.4, 6.7],[0.0, 6.7]],E2:[[4.1, 2.4],[5.1, 2.4],[5.1, 3.6],[4.1, 3.6]],F1:[[8.3, 3.8],[9.8, 3.8],[9.8, 6.8],[8.3, 6.8]]}"
4,72.22%,20.0,"A1,B4,C9,D7,E3,F1","{D7:[[1.7, 0.2],[7.6, 0.2],[7.6, 3.7],[1.7, 3.7]],A1:[[7.6, 0.4],[9.4, 0.4],[9.4, 1.4],[7.6, 1.4]],E3:[[7.6, 2.0],[9.1, 2.0],[9.1, 3.2],[7.6, 3.2]],B4:[[5.5, 3.7],[8.5, 3.7],[8.5, 5.5],[5.5, 5.5]],C9:[[0.4, 3.7],[5.5, 3.7],[5.5, 7.2],[0.4, 7.2]],F1:[[0.2, 0.3],[1.7, 0.3],[1.7, 3.3],[0.2, 3.3]]}"

5,80.35%,14.150000000000006,"A6,B7,C9,D8,E3,F1","{D8:[[1.7, 0.0],[8.3, 0.0],[8.3, 3.5],[1.7, 3.5]],C9:[[3.3, 3.5],[8.4, 3.5],[8.4, 7.0],[3.3, 7.0]],B7:[[0.0, 3.5],[3.0, 3.5],[3.0, 5.9],[0.0, 5.9]],F1:[[8.3, 1.1],[9.8, 1.1],[9.8, 4.1],[8.3, 4.1]],E3:[[0.2, 2.0],[1.7, 2.0],[1.7, 3.2],[0.2, 3.2]],A6:[[0.0, 0.0],[1.7, 0.0],[1.7, 2.0],[0.0, 2.0]]}"
6,80.25%,14.219999999999999,"A7,B6,C8,D8,E3,F1","{D8:[[1.7, 0.0],[8.3, 0.0],[8.3, 3.5],[1.7, 3.5]],B6:[[5.6, 3.5],[8.3, 3.5],[8.3, 5.9],[5.6, 5.9]],E3:[[8.3, 1.3],[9.8, 1.3],[9.8, 2.5],[8.3, 2.5]],C8:[[0.8, 3.5],[5.6, 3.5],[5.6, 7.0],[0.8, 7.0]],A7:[[8.3, 2.6],[10.0, 2.6],[10.0, 5.6],[8.3, 5.6]],F1:[[0.2, 0.1],[1.7, 0.1],[1.7, 3.1],[0.2, 3.1]]}"
7,80.17%,14.280000000000001,"A8,B7,C8,D8,E3,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],B7:[[0.1, 3.7],[3.1, 3.7],[3.1, 6.1],[0.1, 6.1]],C8:[[3.6, 3.7],[8.4, 3.7],[8.4, 7.2],[3.6, 7.2]],F1:[[8.5, 0.4],[10.0, 0.4],[10.0, 3.4],[8.5, 3.4]],E3:[[0.4, 0.1],[1.9, 0.1],[1.9, 1.3],[0.4, 1.3]],A8:[[0.1, 1.3],[1.9, 1.3],[1.9, 3.7],[0.1, 3.7]]}"
8,80.14%,14.299999999999997,"A7,B7,C8,D8,E1,F1","{D8:[[1.9, 0.1],[8.5, 0.1],[8.5, 3.6],[1.9, 3.6]],C8:[[3.3, 3.6],[8.1, 3.6],[8.1, 7.1],[3.3, 7.1]],B7:[[0.1, 3.6],[3.1, 3.6],[3.1, 6.0],[0.1, 6.0]],E1:[[8.5, 0.5],[9.5, 0.5],[9.5, 1.5],[8.5, 1.5]],F1:[[8.5, 2.0],[10.0, 2.0],[10.0, 5.0],[8.5, 5.0]],A7:[[0.2, 0.3],[1.9, 0.3],[1.9, 3.3],[0.2, 3.3]]}"
9,79.71000000000001%,14.610000000000007,"A7,B5,C9,D8,E3,F1","{D8:[[1.6, 0.1],[8.2, 0.1],[8.2, 3.6],[1.6, 3.6]],C9:[[4.7, 3.6],[9.8, 3.6],[9.8, 7.1],[4.7, 7.1]],E3:[[8.2, 1.3],[9.7, 1.3],[9.7, 2.5],[8.2, 2.5]],B5:[[0.6, 3.6],[3.0, 3.6],[3.0, 5.7],[0.6, 5.7]],F1:[[0.1, 0.2],[1.6, 0.2],[1.6, 3.2],[0.1, 3.2]],A7:[[3.0, 3.6],[4.7, 3.6],[4.7, 6.6],[3.0, 6.6]]}"
10,79.65%,14.650000000000006,"A5,B7,C9,D8,E2,F1","{D8:[[1.7, 0.2],[8.3, 0.2],[8.3, 3.7],[1.7, 3.7]],B7:[[6.0, 3.7],[9.0, 3.7],[9.0, 6.1],[6.0, 6.1]],C9:[[0.4, 3.7],[5.5, 3.7],[5.5, 7.2],[0.4, 7.2]],F1:[[8.3, 0.2],[9.8, 0.2],[9.8, 3.2],[8.3, 3.2]],E2:[[0.5, 2.7],[1.7, 2.7],[1.7, 3.7],[0.5, 3.7]],A5:[[0.3, 0.1],[1.7, 0.1],[1.7, 2.6],[0.3, 2.6]]}"
